Date,Prices
38958,1997.2
38959,1998.08
38960,1997.42
38961,2008.47
38965,2012
38966,1992.42
38967,1982.93
38968,1990.44
38971,1991.49
38972,2012.32
38973,2020.49
38974,2017.86
38975,2023.35
38978,2025.39
38979,2021
38980,2031.59
38981,2021.08
38982,2016.09
38985,2033.87
38986,2049.2
38987,2049.97
38988,2053.93
38989,2048.89
38992,2041.99
38993,2046.28
38994,2071.45
38995,2076.63
38996,2071.05
38999,2072.71
39000,2077.01
39001,2071.9
39002,2091.69
39003,2095.97
39006,2101.26
39007,2093.58
39008,2096.71
39009,2098.32
39010,2100.86
39013,2113.82
39014,2114.36
39015,2121.83
39016,2132.39
39017,2114.65
39020,2115.63
39021,2115.65
39022,2100.36
39023,2100.21
39024,2095.68
39027,2119.53
39028,2124.28
39029,2129.22
39030,2118.32
39031,2122.26
39034,2128.17
39035,2141.95
39036,2147.6
39037,2152.57
39038,2154.8
39041,2153.76
39042,2157.42
39043,2162.65
39045,2154.96
39048,2125.67
39049,2133.52
39050,2154.09
39051,2155.89
39052,2149.85
39055,2169
39056,2177.75
39057,2175.45
39058,2166.87
39059,2170.84
39062,2175.8
39063,2173.58
39064,2176.52
39065,2195.59
39066,2198.07
39069,2190.97
39070,2195.8
39071,2192.76
39072,2185.21
39073,2173.9
39077,2183.38
39078,2199.15
39079,2196
39080,2186.13
39085,2183.92
39086,2186.6
39087,2173.29
39090,2178.8
39091,2177.68
39092,2182.15
39093,2196.02
39094,2206.68
39098,2208.48
39099,2206.7
39100,2200.2
39101,2206.6
39104,2195
39105,2202.77
39106,2221.56
39107,2196.54
39108,2193.89
39111,2191.71
39112,2204.4
39113,2219.19
39114,2231.61
39115,2235.39
39118,2233.44
39119,2235.02
39120,2239.05
39121,2236.46
39122,2220.72
39125,2213.58
39126,2230.8
39127,2248.4
39128,2250.97
39129,2249.06
39133,2255.48
39134,2252.43
39135,2251.03
39136,2243.26
39139,2240.73
39140,2163.11
39141,2175.78
39142,2170.17
39143,2145.43
39146,2125.34
39147,2158.36
39148,2153.65
39149,2169.14
39150,2170.62
39153,2176.5
39154,2132.76
39155,2147.18
39156,2155.18
39157,2146.93
39160,2170.33
39161,2184.1
39162,2221.46
39163,2220.68
39164,2223.12
39167,2225.26
39168,2211.52
39169,2194.38
39170,2202.68
39171,2200.12
39174,2205.85
39175,2226.76
39176,2229.25
39177,2236.71
39181,2238.03
39182,2243.93
39183,2229.44
39184,2243.3
39185,2251.12
39188,2275.35
39189,2280.01
39190,2281.61
39191,2278.91
39192,2300.08
39195,2294.82
39196,2294.02
39197,2317.5
39198,2315.91
39199,2315.7
39202,2297.57
39203,2303.68
39204,2318.84
39205,2329.54
39206,2334.61
39209,2340.68
39210,2338.14
39211,2346.3
39212,2313.94
39213,2336.48
39216,2332.43
39217,2329.61
39218,2350.4
39219,2348.44
39220,2363.97
39223,2367.63
39224,2366.1
39225,2363.29
39226,2340.64
39227,2353.42
39231,2357.39
39232,2377.09
39233,2377.75
39234,2386.63
39237,2391.13
39238,2378.44
39239,2357.95
39240,2316.63
39241,2342.98
39244,2345.27
39245,2320.22
39246,2356.02
39247,2367.52
39248,2382.97
39251,2380.09
39252,2384.25
39253,2351.87
39254,2366.92
39255,2336.41
39258,2328.91
39259,2321.46
39260,2342.84
39261,2341.9
39262,2338.25
39265,2363.28
39266,2372.22
39268,2373.07
39269,2381.59
39272,2383.8
39273,2349.98
39274,2363.72
39275,2408.79
39276,2416.28
39279,2411.65
39280,2411.41
39281,2406.69
39282,2417.5
39283,2387.96
39286,2399.64
39287,2352.12
39288,2363.12
39289,2307.98
39290,2271.41
39293,2294.75
39294,2265.75
39295,2282.3
39296,2292.79
39297,2231.98
39300,2285.93
39301,2300.1
39302,2333.24
39303,2264.5
39304,2265.36
39307,2264.58
39308,2223.7
39309,2193.4
39310,2200.61
39311,2254.68
39314,2254.07
39315,2256.52
39316,2283.08
39317,2280.68
39318,2307.22
39321,2287.62
39322,2234.02
39323,2283.58
39324,2274.16
39325,2299.71
39329,2323.83
39330,2298.16
39331,2308.34
39332,2269.32
39335,2266.51
39336,2297.41
39337,2298.14
39338,2317.63
39339,2318.11
39342,2306.25
39343,2373.63
39344,2388.15
39345,2372.61
39346,2383.55
39349,2371.03
39350,2370.26
39351,2383.53
39352,2392.92
39353,2385.72
39356,2417.44
39357,2416.83
39358,2406.3
39359,2411.41
39360,2435.16
39363,2427.33
39364,2447.03
39365,2443.02
39366,2430.55
