Date,SP500ClosedPrices,USTNoteClosedPrices
37981,1598.75,1.2592
37984,1619.16,1.2510
37985,1619.59,1.2490
37986,1622.94,1.2499
37988,1618.05,1.2384
37991,1638.10,1.2380
37992,1640.31,1.2487
37993,1644.60,1.2515
37994,1652.83,1.2505
37995,1638.14,1.2682
37998,1646.03,1.2678
37999,1637.33,1.2759
38000,1650.96,1.2776
38001,1653.21,1.2801
38002,1664.57,1.2762
38006,1663.03,1.2723
38007,1676.07,1.2759
38008,1670.73,1.2831
38009,1667.26,1.2708
38012,1687.44,1.2656
38013,1670.91,1.2714
38014,1648.44,1.2598
38015,1657.09,1.2615
38016,1652.73,1.2662
38019,1658.79,1.2652
38020,1659.92,1.2702
38021,1646.29,1.2686
38022,1649.35,1.2637
38023,1670.14,1.2720
38026,1666.16,1.2754
38027,1674.55,1.2695
38028,1693.03,1.2780
38029,1684.92,1.2764
38030,1675.86,1.2789
38034,1692.22,1.2802
38035,1684.90,1.2788
38036,1678.01,1.2805
38037,1673.71,1.2746
38040,1669.20,1.2807
38041,1666.42,1.2822
38042,1673.34,1.2841
38043,1675.63,1.2817
38044,1675.70,1.2883
38047,1691.90,1.2881
38048,1681.88,1.2825
38049,1685.17,1.2814
38050,1690.83,1.2851
38051,1693.76,1.3016
38054,1679.74,1.3102
38055,1670.07,1.3165
38056,1645.79,1.3151
38057,1621.21,1.3180
38058,1641.42,1.3105
38061,1617.91,1.3118
38062,1627.03,1.3204
38063,1646.29,1.3183
38064,1644.21,1.3134
38065,1625.84,1.3118
38068,1604.80,1.3178
38069,1602.67,1.3203
38070,1598.85,1.3187
38071,1625.01,1.3159
38072,1623.36,1.3067
38075,1644.75,1.3006
38076,1651.43,1.2999
38077,1650.42,1.3065
38078,1659.16,1.3020
38079,1673.41,1.2747
38082,1686.24,1.2687
38083,1683.23,1.2747
38084,1672.14,1.2744
38085,1670.36,1.2697
38089,1679.02,1.2673
38090,1655.99,1.2556
38091,1654.17,1.2543
38092,1655.15,1.2507
38093,1663.62,1.2570
38096,1665.40,1.2528
38097,1639.49,1.2462
38098,1648.31,1.2495
38099,1671.63,1.2537
38100,1672.62,1.2464
38103,1665.20,1.2490
38104,1668.98,1.2542
38105,1646.20,1.2431
38106,1634.16,1.2394
38107,1624.51,1.2423
38110,1639.46,1.2438
38111,1642.50,1.2371
38112,1645.65,1.2358
38113,1634.75,1.2344
38114,1612.31,1.2181
38117,1595.38,1.2165
38118,1607.94,1.2208
38119,1611.15,1.2150
38120,1610.05,1.2105
38121,1609.12,1.2172
38124,1592.23,1.2273
38125,1603.14,1.2232
38126,1599.29,1.2208
38127,1600.06,1.2291
38128,1606.49,1.2241
38131,1609.22,1.2271
38132,1635.14,1.2284
38133,1638.16,1.2330
38134,1647.65,1.2393
38135,1646.80,1.2341
38139,1647.57,1.2306
38140,1653.67,1.2269
38141,1641.43,1.2299
38142,1650.08,1.2232
38145,1676.48,1.2250
38146,1679.21,1.2248
38147,1663.38,1.2209
38148,1671.02,1.2221
38152,1655.00,1.2162
38153,1664.92,1.2342
38154,1667.23,1.2295
38155,1665.02,1.2339
38156,1669.39,1.2314
38159,1662.46,1.2340
38160,1668.55,1.2314
38161,1682.75,1.2333
38162,1678.07,1.2383
38163,1668.93,1.2388
38166,1667.61,1.2302
38167,1671.84,1.2352
38168,1678.83,1.2454
38169,1661.53,1.2473
38170,1656.33,1.2574
38174,1642.84,1.2567
38175,1646.36,1.2569
38176,1632.89,1.2570
38177,1638.42,1.2585
38180,1640.73,1.2605
38181,1641.96,1.2586
38182,1636.62,1.2574
38183,1629.58,1.2574
38184,1621.81,1.2701
38187,1621.09,1.2708
38188,1632.52,1.2618
38189,1610.88,1.2595
38190,1615.27,1.2617
38191,1599.62,1.2636
38194,1596.48,1.2585
38195,1612.33,1.2468
38196,1613.50,1.2495
38197,1621.35,1.2510
38198,1623.26,1.2605
38201,1630.48,1.2635
38202,1620.28,1.2655
38203,1619.00,1.2663
38204,1592.64,1.2685
38205,1568.07,1.2866
38208,1569.96,1.2829
38209,1590.35,1.2798
38210,1586.43,1.2823
38211,1567.95,1.2841
38212,1570.44,1.2879
38215,1591.94,1.2848
38216,1595.57,1.2912
38217,1615.72,1.2866
38218,1609.97,1.2889
38219,1620.47,1.2877
38222,1616.68,1.2832
38223,1617.46,1.2843
38224,1630.49,1.2854
38225,1630.68,1.2902
38226,1634.83,1.2892
38229,1622.28,1.2944
38230,1629.83,1.3011
38231,1632.82,1.3007
38232,1651.14,1.2916
38233,1644.25,1.2840
38237,1655.65,1.2900
38238,1648.52,1.2976
38239,1651.65,1.2943
38240,1659.84,1.2956
38243,1663.10,1.3005
38244,1666.82,1.3018
38245,1655.10,1.2987
38246,1659.78,1.3082
38247,1667.25,1.3036
38250,1657.88,1.3098
38251,1668.39,1.3118
38252,1645.17,1.3177
38253,1637.82,1.3144
38254,1640.40,1.3135
38257,1630.67,1.3177
38258,1640.62,1.3168
38259,1647.79,1.3076
38260,1647.48,1.3047
38261,1672.49,1.2980
38264,1678.10,1.3005
38265,1677.09,1.2998
38266,1688.83,1.2949
38267,1672.08,1.2931
38268,1659.51,1.3045
38272,1659.07,1.3087
38273,1647.13,1.3133
38274,1631.81,1.3176
38275,1639.08,1.3133
38278,1647.70,1.3152
38279,1631.74,1.3168
38280,1632.49,1.3219
38281,1636.76,1.3207
38282,1620.85,1.3232
38285,1619.48,1.3235
38286,1643.57,1.3208
38287,1665.01,1.3117
38288,1668.55,1.3157
38289,1672.65,1.3192
38292,1673.11,1.3139
38293,1673.16,1.3162
38294,1692.22,1.3146
38295,1719.64,1.3147
38296,1726.34,1.3044
38299,1724.59,1.3004
38300,1724.08,1.2998
38301,1722.67,1.2983
38303,1754.33,1.3047
38306,1753.99,1.3045
38307,1741.72,1.3024
38308,1751.57,1.3106
38309,1753.97,1.3134
38310,1734.45,1.3037
38313,1744.71,1.3063
38314,1744.31,1.3053
38315,1751.55,1.3042
